,sm,sm_uncertainty,flag,freqbandID,dnflag,mode,sensor,t0,_datetime
1979-05-12,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-13,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-14,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-15,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-16,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-17,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-18,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-19,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-20,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-21,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-22,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-23,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-24,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-25,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-26,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-27,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-28,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-29,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-30,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-05-31,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-01,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-02,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-03,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-04,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-05,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-06,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-07,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-08,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-09,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-10,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-11,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-12,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-13,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-14,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-15,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-16,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-17,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-18,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-19,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-20,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-21,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-22,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-23,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-24,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-25,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-26,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-27,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-28,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-29,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-06-30,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-01,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-02,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-03,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
